class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-00001,851-SCH-001,851,0,A,0.A,2024-2025,24,L334,True,2026-02-27T13:34:08.130089,2026-02-27T13:34:08.130091
CLS-00002,851-SCH-001,851,0,B,0.B,2024-2025,22,L189,True,2026-02-27T13:34:08.130094,2026-02-27T13:34:08.130095
CLS-00003,851-SCH-001,851,0,C,0.C,2024-2025,26,L281,True,2026-02-27T13:34:08.130097,2026-02-27T13:34:08.130098
CLS-00004,851-SCH-001,851,1,A,1.A,2024-2025,22,L279,True,2026-02-27T13:34:08.130100,2026-02-27T13:34:08.130101
CLS-00005,851-SCH-001,851,1,B,1.B,2024-2025,22,L308,True,2026-02-27T13:34:08.130103,2026-02-27T13:34:08.130104
CLS-00006,851-SCH-001,851,1,C,1.C,2024-2025,21,L122,True,2026-02-27T13:34:08.130105,2026-02-27T13:34:08.130106
CLS-00007,851-SCH-001,851,2,A,2.A,2024-2025,22,L258,True,2026-02-27T13:34:08.130108,2026-02-27T13:34:08.130109
CLS-00008,851-SCH-001,851,2,B,2.B,2024-2025,20,L307,True,2026-02-27T13:34:08.130110,2026-02-27T13:34:08.130111
CLS-00009,851-SCH-001,851,2,C,2.C,2024-2025,28,L104,True,2026-02-27T13:34:08.130115,2026-02-27T13:34:08.130116
CLS-00010,851-SCH-001,851,3,A,3.A,2024-2025,23,L149,True,2026-02-27T13:34:08.130118,2026-02-27T13:34:08.130118
CLS-00011,851-SCH-001,851,4,A,4.A,2024-2025,23,L320,True,2026-02-27T13:34:08.130121,2026-02-27T13:34:08.130121
CLS-00012,851-SCH-001,851,4,B,4.B,2024-2025,26,L339,True,2026-02-27T13:34:08.130123,2026-02-27T13:34:08.130124
CLS-00013,851-SCH-001,851,5,A,5.A,2024-2025,21,L145,True,2026-02-27T13:34:08.130125,2026-02-27T13:34:08.130126
CLS-00014,851-SCH-001,851,6,A,6.A,2024-2025,23,L206,True,2026-02-27T13:34:08.130128,2026-02-27T13:34:08.130129
CLS-00015,851-SCH-001,851,7,A,7.A,2024-2025,28,L148,True,2026-02-27T13:34:08.130131,2026-02-27T13:34:08.130131
CLS-00016,851-SCH-001,851,8,A,8.A,2024-2025,22,L254,True,2026-02-27T13:34:08.130134,2026-02-27T13:34:08.130134
CLS-00017,851-SCH-001,851,8,B,8.B,2024-2025,21,L183,True,2026-02-27T13:34:08.130136,2026-02-27T13:34:08.130137
CLS-00018,851-SCH-001,851,9,A,9.A,2024-2025,21,L244,True,2026-02-27T13:34:08.130139,2026-02-27T13:34:08.130139
CLS-00019,851-SCH-001,851,9,B,9.B,2024-2025,26,L110,True,2026-02-27T13:34:08.130141,2026-02-27T13:34:08.130142
CLS-00020,851-SCH-001,851,9,C,9.C,2024-2025,25,L340,True,2026-02-27T13:34:08.130143,2026-02-27T13:34:08.130144
CLS-00021,851-SCH-002,851,0,A,0.A,2024-2025,25,L199,True,2026-02-27T13:34:08.130146,2026-02-27T13:34:08.130147
CLS-00022,851-SCH-002,851,0,B,0.B,2024-2025,23,L242,True,2026-02-27T13:34:08.130148,2026-02-27T13:34:08.130149
CLS-00023,851-SCH-002,851,1,A,1.A,2024-2025,24,L222,True,2026-02-27T13:34:08.130151,2026-02-27T13:34:08.130152
CLS-00024,851-SCH-002,851,2,A,2.A,2024-2025,28,L270,True,2026-02-27T13:34:08.130154,2026-02-27T13:34:08.130154
CLS-00025,851-SCH-002,851,2,B,2.B,2024-2025,25,L223,True,2026-02-27T13:34:08.130156,2026-02-27T13:34:08.130157
CLS-00026,851-SCH-002,851,2,C,2.C,2024-2025,27,L208,True,2026-02-27T13:34:08.130158,2026-02-27T13:34:08.130159
CLS-00027,851-SCH-002,851,3,A,3.A,2024-2025,22,L338,True,2026-02-27T13:34:08.130161,2026-02-27T13:34:08.130162
CLS-00028,851-SCH-002,851,3,B,3.B,2024-2025,26,L137,True,2026-02-27T13:34:08.130163,2026-02-27T13:34:08.130164
CLS-00029,851-SCH-002,851,3,C,3.C,2024-2025,23,L271,True,2026-02-27T13:34:08.130165,2026-02-27T13:34:08.130166
CLS-00030,851-SCH-002,851,4,A,4.A,2024-2025,26,L187,True,2026-02-27T13:34:08.130168,2026-02-27T13:34:08.130169
CLS-00031,851-SCH-002,851,4,B,4.B,2024-2025,28,L200,True,2026-02-27T13:34:08.130170,2026-02-27T13:34:08.130171
CLS-00032,851-SCH-002,851,4,C,4.C,2024-2025,26,L343,True,2026-02-27T13:34:08.130173,2026-02-27T13:34:08.130173
CLS-00033,851-SCH-002,851,5,A,5.A,2024-2025,23,L116,True,2026-02-27T13:34:08.130175,2026-02-27T13:34:08.130176
CLS-00034,851-SCH-002,851,5,B,5.B,2024-2025,27,L236,True,2026-02-27T13:34:08.130177,2026-02-27T13:34:08.130178
CLS-00035,851-SCH-002,851,5,C,5.C,2024-2025,20,L207,True,2026-02-27T13:34:08.130180,2026-02-27T13:34:08.130180
CLS-00036,851-SCH-002,851,6,A,6.A,2024-2025,24,L112,True,2026-02-27T13:34:08.130182,2026-02-27T13:34:08.130183
CLS-00037,851-SCH-002,851,6,B,6.B,2024-2025,25,L249,True,2026-02-27T13:34:08.130185,2026-02-27T13:34:08.130185
CLS-00038,851-SCH-002,851,7,A,7.A,2024-2025,20,L275,True,2026-02-27T13:34:08.130187,2026-02-27T13:34:08.130188
CLS-00039,851-SCH-002,851,7,B,7.B,2024-2025,27,L234,True,2026-02-27T13:34:08.130189,2026-02-27T13:34:08.130190
CLS-00040,851-SCH-002,851,7,C,7.C,2024-2025,23,L292,True,2026-02-27T13:34:08.130193,2026-02-27T13:34:08.130194
CLS-00041,851-SCH-002,851,8,A,8.A,2024-2025,27,L148,True,2026-02-27T13:34:08.130196,2026-02-27T13:34:08.130197
CLS-00042,851-SCH-002,851,8,B,8.B,2024-2025,20,L228,True,2026-02-27T13:34:08.130198,2026-02-27T13:34:08.130199
CLS-00043,851-SCH-002,851,9,A,9.A,2024-2025,25,L246,True,2026-02-27T13:34:08.130201,2026-02-27T13:34:08.130202
CLS-00044,851-SCH-002,851,9,B,9.B,2024-2025,23,L255,True,2026-02-27T13:34:08.130203,2026-02-27T13:34:08.130204
CLS-00045,851-SCH-003,851,0,A,0.A,2024-2025,28,L120,True,2026-02-27T13:34:08.130206,2026-02-27T13:34:08.130207
CLS-00046,851-SCH-003,851,0,B,0.B,2024-2025,26,L311,True,2026-02-27T13:34:08.130208,2026-02-27T13:34:08.130209
