class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-00001,751-SCH-001,751,0,A,0.A,2024-2025,21,L262,True,2026-02-27T13:34:07.978243,2026-02-27T13:34:07.978244
CLS-00002,751-SCH-001,751,0,B,0.B,2024-2025,24,L270,True,2026-02-27T13:34:07.978247,2026-02-27T13:34:07.978248
CLS-00003,751-SCH-001,751,0,C,0.C,2024-2025,25,L156,True,2026-02-27T13:34:07.978250,2026-02-27T13:34:07.978250
CLS-00004,751-SCH-001,751,1,A,1.A,2024-2025,22,L224,True,2026-02-27T13:34:07.978252,2026-02-27T13:34:07.978253
CLS-00005,751-SCH-001,751,1,B,1.B,2024-2025,26,L346,True,2026-02-27T13:34:07.978255,2026-02-27T13:34:07.978256
CLS-00006,751-SCH-001,751,2,A,2.A,2024-2025,23,L122,True,2026-02-27T13:34:07.978258,2026-02-27T13:34:07.978259
CLS-00007,751-SCH-001,751,3,A,3.A,2024-2025,24,L290,True,2026-02-27T13:34:07.978261,2026-02-27T13:34:07.978261
CLS-00008,751-SCH-001,751,4,A,4.A,2024-2025,24,L127,True,2026-02-27T13:34:07.978263,2026-02-27T13:34:07.978264
CLS-00009,751-SCH-001,751,5,A,5.A,2024-2025,26,L281,True,2026-02-27T13:34:07.978266,2026-02-27T13:34:07.978267
CLS-00010,751-SCH-001,751,6,A,6.A,2024-2025,24,L202,True,2026-02-27T13:34:07.978269,2026-02-27T13:34:07.978270
CLS-00011,751-SCH-001,751,6,B,6.B,2024-2025,28,L212,True,2026-02-27T13:34:07.978271,2026-02-27T13:34:07.978272
CLS-00012,751-SCH-001,751,6,C,6.C,2024-2025,28,L312,True,2026-02-27T13:34:07.978274,2026-02-27T13:34:07.978275
CLS-00013,751-SCH-001,751,7,A,7.A,2024-2025,27,L107,True,2026-02-27T13:34:07.978277,2026-02-27T13:34:07.978278
CLS-00014,751-SCH-001,751,8,A,8.A,2024-2025,20,L110,True,2026-02-27T13:34:07.978279,2026-02-27T13:34:07.978280
CLS-00015,751-SCH-001,751,9,A,9.A,2024-2025,24,L307,True,2026-02-27T13:34:07.978282,2026-02-27T13:34:07.978283
CLS-00016,751-SCH-001,751,9,B,9.B,2024-2025,21,L231,True,2026-02-27T13:34:07.978285,2026-02-27T13:34:07.978285
