class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-00001,101-SCH-001,101,0,A,0.A,2024-2025,27,L230,True,2026-02-27T13:34:07.847491,2026-02-27T13:34:07.847495
CLS-00002,101-SCH-001,101,0,B,0.B,2024-2025,25,L136,True,2026-02-27T13:34:07.847501,2026-02-27T13:34:07.847502
CLS-00003,101-SCH-001,101,0,C,0.C,2024-2025,20,L264,True,2026-02-27T13:34:07.847505,2026-02-27T13:34:07.847506
CLS-00004,101-SCH-001,101,1,A,1.A,2024-2025,22,L321,True,2026-02-27T13:34:07.847509,2026-02-27T13:34:07.847509
CLS-00005,101-SCH-001,101,1,B,1.B,2024-2025,27,L334,True,2026-02-27T13:34:07.847511,2026-02-27T13:34:07.847512
CLS-00006,101-SCH-001,101,1,C,1.C,2024-2025,20,L110,True,2026-02-27T13:34:07.847514,2026-02-27T13:34:07.847515
CLS-00007,101-SCH-001,101,2,A,2.A,2024-2025,23,L337,True,2026-02-27T13:34:07.847517,2026-02-27T13:34:07.847517
CLS-00008,101-SCH-001,101,2,B,2.B,2024-2025,28,L101,True,2026-02-27T13:34:07.847519,2026-02-27T13:34:07.847520
CLS-00009,101-SCH-001,101,2,C,2.C,2024-2025,21,L283,True,2026-02-27T13:34:07.847521,2026-02-27T13:34:07.847522
CLS-00010,101-SCH-001,101,3,A,3.A,2024-2025,23,L182,True,2026-02-27T13:34:07.847524,2026-02-27T13:34:07.847525
CLS-00011,101-SCH-001,101,4,A,4.A,2024-2025,25,L258,True,2026-02-27T13:34:07.847527,2026-02-27T13:34:07.847528
CLS-00012,101-SCH-001,101,4,B,4.B,2024-2025,28,L196,True,2026-02-27T13:34:07.847530,2026-02-27T13:34:07.847531
CLS-00013,101-SCH-001,101,5,A,5.A,2024-2025,22,L142,True,2026-02-27T13:34:07.847532,2026-02-27T13:34:07.847533
CLS-00014,101-SCH-001,101,5,B,5.B,2024-2025,21,L123,True,2026-02-27T13:34:07.847535,2026-02-27T13:34:07.847535
CLS-00015,101-SCH-001,101,6,A,6.A,2024-2025,21,L156,True,2026-02-27T13:34:07.847537,2026-02-27T13:34:07.847538
CLS-00016,101-SCH-001,101,6,B,6.B,2024-2025,20,L321,True,2026-02-27T13:34:07.847540,2026-02-27T13:34:07.847540
CLS-00017,101-SCH-001,101,7,A,7.A,2024-2025,22,L242,True,2026-02-27T13:34:07.847542,2026-02-27T13:34:07.847543
CLS-00018,101-SCH-001,101,7,B,7.B,2024-2025,24,L177,True,2026-02-27T13:34:07.847545,2026-02-27T13:34:07.847545
CLS-00019,101-SCH-001,101,8,A,8.A,2024-2025,28,L318,True,2026-02-27T13:34:07.847547,2026-02-27T13:34:07.847548
CLS-00020,101-SCH-001,101,8,B,8.B,2024-2025,22,L216,True,2026-02-27T13:34:07.847555,2026-02-27T13:34:07.847556
CLS-00021,101-SCH-001,101,9,A,9.A,2024-2025,27,L312,True,2026-02-27T13:34:07.847558,2026-02-27T13:34:07.847559
CLS-00022,101-SCH-001,101,9,B,9.B,2024-2025,24,L132,True,2026-02-27T13:34:07.847560,2026-02-27T13:34:07.847561
CLS-00023,101-SCH-001,101,9,C,9.C,2024-2025,26,L348,True,2026-02-27T13:34:07.847562,2026-02-27T13:34:07.847563
CLS-00024,101-SCH-002,101,0,A,0.A,2024-2025,25,L177,True,2026-02-27T13:34:07.847565,2026-02-27T13:34:07.847566
CLS-00025,101-SCH-002,101,0,B,0.B,2024-2025,26,L255,True,2026-02-27T13:34:07.847567,2026-02-27T13:34:07.847568
CLS-00026,101-SCH-002,101,1,A,1.A,2024-2025,23,L212,True,2026-02-27T13:34:07.847570,2026-02-27T13:34:07.847571
CLS-00027,101-SCH-002,101,1,B,1.B,2024-2025,27,L313,True,2026-02-27T13:34:07.847572,2026-02-27T13:34:07.847573
CLS-00028,101-SCH-002,101,2,A,2.A,2024-2025,24,L255,True,2026-02-27T13:34:07.847575,2026-02-27T13:34:07.847576
CLS-00029,101-SCH-002,101,2,B,2.B,2024-2025,22,L235,True,2026-02-27T13:34:07.847577,2026-02-27T13:34:07.847578
CLS-00030,101-SCH-002,101,2,C,2.C,2024-2025,26,L200,True,2026-02-27T13:34:07.847579,2026-02-27T13:34:07.847580
CLS-00031,101-SCH-002,101,3,A,3.A,2024-2025,28,L271,True,2026-02-27T13:34:07.847582,2026-02-27T13:34:07.847583
CLS-00032,101-SCH-002,101,3,B,3.B,2024-2025,21,L335,True,2026-02-27T13:34:07.847584,2026-02-27T13:34:07.847585
CLS-00033,101-SCH-002,101,4,A,4.A,2024-2025,22,L180,True,2026-02-27T13:34:07.847587,2026-02-27T13:34:07.847588
CLS-00034,101-SCH-002,101,4,B,4.B,2024-2025,25,L151,True,2026-02-27T13:34:07.847589,2026-02-27T13:34:07.847590
CLS-00035,101-SCH-002,101,4,C,4.C,2024-2025,23,L117,True,2026-02-27T13:34:07.847592,2026-02-27T13:34:07.847592
CLS-00036,101-SCH-002,101,5,A,5.A,2024-2025,21,L277,True,2026-02-27T13:34:07.847594,2026-02-27T13:34:07.847595
CLS-00037,101-SCH-002,101,5,B,5.B,2024-2025,23,L289,True,2026-02-27T13:34:07.847596,2026-02-27T13:34:07.847597
CLS-00038,101-SCH-002,101,5,C,5.C,2024-2025,21,L183,True,2026-02-27T13:34:07.847599,2026-02-27T13:34:07.847599
CLS-00039,101-SCH-002,101,6,A,6.A,2024-2025,25,L322,True,2026-02-27T13:34:07.847601,2026-02-27T13:34:07.847602
CLS-00040,101-SCH-002,101,6,B,6.B,2024-2025,27,L326,True,2026-02-27T13:34:07.847604,2026-02-27T13:34:07.847604
CLS-00041,101-SCH-002,101,6,C,6.C,2024-2025,28,L184,True,2026-02-27T13:34:07.847606,2026-02-27T13:34:07.847607
CLS-00042,101-SCH-002,101,7,A,7.A,2024-2025,26,L328,True,2026-02-27T13:34:07.847609,2026-02-27T13:34:07.847609
CLS-00043,101-SCH-002,101,7,B,7.B,2024-2025,22,L223,True,2026-02-27T13:34:07.847611,2026-02-27T13:34:07.847611
CLS-00044,101-SCH-002,101,8,A,8.A,2024-2025,25,L334,True,2026-02-27T13:34:07.847613,2026-02-27T13:34:07.847614
CLS-00045,101-SCH-002,101,9,A,9.A,2024-2025,24,L117,True,2026-02-27T13:34:07.847616,2026-02-27T13:34:07.847617
CLS-00046,101-SCH-002,101,9,B,9.B,2024-2025,24,L338,True,2026-02-27T13:34:07.847618,2026-02-27T13:34:07.847619
CLS-00047,101-SCH-002,101,9,C,9.C,2024-2025,27,L235,True,2026-02-27T13:34:07.847620,2026-02-27T13:34:07.847621
CLS-00048,101-SCH-003,101,0,A,0.A,2024-2025,22,L288,True,2026-02-27T13:34:07.847623,2026-02-27T13:34:07.847624
CLS-00049,101-SCH-003,101,0,B,0.B,2024-2025,27,L282,True,2026-02-27T13:34:07.847625,2026-02-27T13:34:07.847626
CLS-00050,101-SCH-003,101,0,C,0.C,2024-2025,20,L150,True,2026-02-27T13:34:07.847628,2026-02-27T13:34:07.847628
CLS-00051,101-SCH-003,101,1,A,1.A,2024-2025,27,L263,True,2026-02-27T13:34:07.847630,2026-02-27T13:34:07.847631
CLS-00052,101-SCH-003,101,2,A,2.A,2024-2025,27,L328,True,2026-02-27T13:34:07.847633,2026-02-27T13:34:07.847634
CLS-00053,101-SCH-003,101,3,A,3.A,2024-2025,28,L140,True,2026-02-27T13:34:07.847636,2026-02-27T13:34:07.847636
CLS-00054,101-SCH-003,101,3,B,3.B,2024-2025,25,L223,True,2026-02-27T13:34:07.847638,2026-02-27T13:34:07.847639
CLS-00055,101-SCH-003,101,3,C,3.C,2024-2025,27,L212,True,2026-02-27T13:34:07.847640,2026-02-27T13:34:07.847641
CLS-00056,101-SCH-003,101,4,A,4.A,2024-2025,24,L184,True,2026-02-27T13:34:07.847643,2026-02-27T13:34:07.847644
CLS-00057,101-SCH-003,101,5,A,5.A,2024-2025,21,L104,True,2026-02-27T13:34:07.847645,2026-02-27T13:34:07.847646
CLS-00058,101-SCH-003,101,6,A,6.A,2024-2025,24,L317,True,2026-02-27T13:34:07.847648,2026-02-27T13:34:07.847649
CLS-00059,101-SCH-003,101,6,B,6.B,2024-2025,22,L164,True,2026-02-27T13:34:07.847650,2026-02-27T13:34:07.847651
CLS-00060,101-SCH-003,101,6,C,6.C,2024-2025,26,L261,True,2026-02-27T13:34:07.847654,2026-02-27T13:34:07.847655
CLS-00061,101-SCH-003,101,7,A,7.A,2024-2025,25,L251,True,2026-02-27T13:34:07.847657,2026-02-27T13:34:07.847658
CLS-00062,101-SCH-003,101,7,B,7.B,2024-2025,24,L210,True,2026-02-27T13:34:07.847659,2026-02-27T13:34:07.847660
CLS-00063,101-SCH-003,101,8,A,8.A,2024-2025,24,L278,True,2026-02-27T13:34:07.847662,2026-02-27T13:34:07.847663
CLS-00064,101-SCH-003,101,8,B,8.B,2024-2025,21,L286,True,2026-02-27T13:34:07.847664,2026-02-27T13:34:07.847665
CLS-00065,101-SCH-003,101,8,C,8.C,2024-2025,26,L210,True,2026-02-27T13:34:07.847667,2026-02-27T13:34:07.847667
CLS-00066,101-SCH-003,101,9,A,9.A,2024-2025,28,L188,True,2026-02-27T13:34:07.847670,2026-02-27T13:34:07.847671
CLS-00067,101-SCH-003,101,9,B,9.B,2024-2025,22,L176,True,2026-02-27T13:34:07.847672,2026-02-27T13:34:07.847673
CLS-00068,101-SCH-003,101,9,C,9.C,2024-2025,21,L229,True,2026-02-27T13:34:07.847674,2026-02-27T13:34:07.847675
CLS-00069,101-SCH-004,101,0,A,0.A,2024-2025,27,L107,True,2026-02-27T13:34:07.847677,2026-02-27T13:34:07.847678
CLS-00070,101-SCH-004,101,0,B,0.B,2024-2025,22,L232,True,2026-02-27T13:34:07.847679,2026-02-27T13:34:07.847680
CLS-00071,101-SCH-004,101,0,C,0.C,2024-2025,22,L348,True,2026-02-27T13:34:07.847682,2026-02-27T13:34:07.847682
CLS-00072,101-SCH-004,101,1,A,1.A,2024-2025,23,L292,True,2026-02-27T13:34:07.847684,2026-02-27T13:34:07.847685
CLS-00073,101-SCH-004,101,2,A,2.A,2024-2025,21,L193,True,2026-02-27T13:34:07.847689,2026-02-27T13:34:07.847689
CLS-00074,101-SCH-004,101,3,A,3.A,2024-2025,28,L190,True,2026-02-27T13:34:07.847691,2026-02-27T13:34:07.847692
CLS-00075,101-SCH-004,101,4,A,4.A,2024-2025,28,L344,True,2026-02-27T13:34:07.847694,2026-02-27T13:34:07.847695
CLS-00076,101-SCH-004,101,5,A,5.A,2024-2025,27,L341,True,2026-02-27T13:34:07.847697,2026-02-27T13:34:07.847697
CLS-00077,101-SCH-004,101,6,A,6.A,2024-2025,27,L184,True,2026-02-27T13:34:07.847699,2026-02-27T13:34:07.847700
CLS-00078,101-SCH-004,101,6,B,6.B,2024-2025,23,L227,True,2026-02-27T13:34:07.847702,2026-02-27T13:34:07.847703
CLS-00079,101-SCH-004,101,6,C,6.C,2024-2025,20,L326,True,2026-02-27T13:34:07.847705,2026-02-27T13:34:07.847705
CLS-00080,101-SCH-004,101,7,A,7.A,2024-2025,27,L173,True,2026-02-27T13:34:07.847707,2026-02-27T13:34:07.847708
CLS-00081,101-SCH-004,101,7,B,7.B,2024-2025,22,L327,True,2026-02-27T13:34:07.847709,2026-02-27T13:34:07.847710
CLS-00082,101-SCH-004,101,7,C,7.C,2024-2025,28,L118,True,2026-02-27T13:34:07.847712,2026-02-27T13:34:07.847712
CLS-00083,101-SCH-004,101,8,A,8.A,2024-2025,26,L272,True,2026-02-27T13:34:07.847714,2026-02-27T13:34:07.847715
CLS-00084,101-SCH-004,101,9,A,9.A,2024-2025,21,L205,True,2026-02-27T13:34:07.847717,2026-02-27T13:34:07.847718
CLS-00085,101-SCH-004,101,9,B,9.B,2024-2025,28,L119,True,2026-02-27T13:34:07.847719,2026-02-27T13:34:07.847720
CLS-00086,101-SCH-005,101,0,A,0.A,2024-2025,25,L173,True,2026-02-27T13:34:07.847722,2026-02-27T13:34:07.847723
CLS-00087,101-SCH-005,101,0,B,0.B,2024-2025,22,L196,True,2026-02-27T13:34:07.847724,2026-02-27T13:34:07.847725
CLS-00088,101-SCH-005,101,0,C,0.C,2024-2025,23,L288,True,2026-02-27T13:34:07.847726,2026-02-27T13:34:07.847727
CLS-00089,101-SCH-005,101,1,A,1.A,2024-2025,26,L218,True,2026-02-27T13:34:07.847729,2026-02-27T13:34:07.847730
CLS-00090,101-SCH-005,101,1,B,1.B,2024-2025,26,L243,True,2026-02-27T13:34:07.847731,2026-02-27T13:34:07.847732
CLS-00091,101-SCH-005,101,1,C,1.C,2024-2025,27,L181,True,2026-02-27T13:34:07.847734,2026-02-27T13:34:07.847734
CLS-00092,101-SCH-005,101,2,A,2.A,2024-2025,21,L199,True,2026-02-27T13:34:07.847736,2026-02-27T13:34:07.847737
CLS-00093,101-SCH-005,101,2,B,2.B,2024-2025,26,L271,True,2026-02-27T13:34:07.847738,2026-02-27T13:34:07.847739
CLS-00094,101-SCH-005,101,2,C,2.C,2024-2025,23,L321,True,2026-02-27T13:34:07.847741,2026-02-27T13:34:07.847742
CLS-00095,101-SCH-005,101,3,A,3.A,2024-2025,23,L334,True,2026-02-27T13:34:07.847744,2026-02-27T13:34:07.847744
CLS-00096,101-SCH-005,101,4,A,4.A,2024-2025,27,L163,True,2026-02-27T13:34:07.847746,2026-02-27T13:34:07.847747
CLS-00097,101-SCH-005,101,4,B,4.B,2024-2025,22,L164,True,2026-02-27T13:34:07.847748,2026-02-27T13:34:07.847749
CLS-00098,101-SCH-005,101,5,A,5.A,2024-2025,26,L314,True,2026-02-27T13:34:07.847751,2026-02-27T13:34:07.847752
CLS-00099,101-SCH-005,101,5,B,5.B,2024-2025,24,L332,True,2026-02-27T13:34:07.847753,2026-02-27T13:34:07.847754
CLS-00100,101-SCH-005,101,5,C,5.C,2024-2025,23,L255,True,2026-02-27T13:34:07.847761,2026-02-27T13:34:07.847762
CLS-00101,101-SCH-005,101,6,A,6.A,2024-2025,27,L204,True,2026-02-27T13:34:07.847764,2026-02-27T13:34:07.847764
CLS-00102,101-SCH-005,101,6,B,6.B,2024-2025,24,L314,True,2026-02-27T13:34:07.847766,2026-02-27T13:34:07.847767
CLS-00103,101-SCH-005,101,6,C,6.C,2024-2025,22,L319,True,2026-02-27T13:34:07.847768,2026-02-27T13:34:07.847769
CLS-00104,101-SCH-005,101,7,A,7.A,2024-2025,20,L117,True,2026-02-27T13:34:07.847771,2026-02-27T13:34:07.847772
CLS-00105,101-SCH-005,101,7,B,7.B,2024-2025,22,L141,True,2026-02-27T13:34:07.847773,2026-02-27T13:34:07.847774
CLS-00106,101-SCH-005,101,7,C,7.C,2024-2025,27,L232,True,2026-02-27T13:34:07.847776,2026-02-27T13:34:07.847776
CLS-00107,101-SCH-005,101,8,A,8.A,2024-2025,26,L256,True,2026-02-27T13:34:07.847778,2026-02-27T13:34:07.847779
CLS-00108,101-SCH-005,101,8,B,8.B,2024-2025,21,L235,True,2026-02-27T13:34:07.847781,2026-02-27T13:34:07.847781
CLS-00109,101-SCH-005,101,9,A,9.A,2024-2025,24,L164,True,2026-02-27T13:34:07.847783,2026-02-27T13:34:07.847784
CLS-00110,101-SCH-005,101,9,B,9.B,2024-2025,23,L301,True,2026-02-27T13:34:07.847786,2026-02-27T13:34:07.847786
CLS-00111,101-SCH-006,101,0,A,0.A,2024-2025,22,L283,True,2026-02-27T13:34:07.847788,2026-02-27T13:34:07.847789
CLS-00112,101-SCH-006,101,1,A,1.A,2024-2025,24,L194,True,2026-02-27T13:34:07.847791,2026-02-27T13:34:07.847792
CLS-00113,101-SCH-006,101,1,B,1.B,2024-2025,22,L108,True,2026-02-27T13:34:07.847793,2026-02-27T13:34:07.847794
CLS-00114,101-SCH-006,101,2,A,2.A,2024-2025,22,L215,True,2026-02-27T13:34:07.847796,2026-02-27T13:34:07.847797
CLS-00115,101-SCH-006,101,2,B,2.B,2024-2025,20,L312,True,2026-02-27T13:34:07.847798,2026-02-27T13:34:07.847799
CLS-00116,101-SCH-006,101,2,C,2.C,2024-2025,20,L182,True,2026-02-27T13:34:07.847800,2026-02-27T13:34:07.847801
CLS-00117,101-SCH-006,101,3,A,3.A,2024-2025,20,L327,True,2026-02-27T13:34:07.847803,2026-02-27T13:34:07.847804
CLS-00118,101-SCH-006,101,4,A,4.A,2024-2025,21,L279,True,2026-02-27T13:34:07.847808,2026-02-27T13:34:07.847808
CLS-00119,101-SCH-006,101,4,B,4.B,2024-2025,27,L253,True,2026-02-27T13:34:07.847810,2026-02-27T13:34:07.847811
CLS-00120,101-SCH-006,101,5,A,5.A,2024-2025,27,L247,True,2026-02-27T13:34:07.847813,2026-02-27T13:34:07.847813
CLS-00121,101-SCH-006,101,5,B,5.B,2024-2025,21,L298,True,2026-02-27T13:34:07.847815,2026-02-27T13:34:07.847816
CLS-00122,101-SCH-006,101,6,A,6.A,2024-2025,20,L252,True,2026-02-27T13:34:07.847818,2026-02-27T13:34:07.847818
CLS-00123,101-SCH-006,101,6,B,6.B,2024-2025,24,L268,True,2026-02-27T13:34:07.847820,2026-02-27T13:34:07.847821
CLS-00124,101-SCH-006,101,6,C,6.C,2024-2025,20,L254,True,2026-02-27T13:34:07.847822,2026-02-27T13:34:07.847823
CLS-00125,101-SCH-006,101,7,A,7.A,2024-2025,22,L233,True,2026-02-27T13:34:07.847825,2026-02-27T13:34:07.847826
CLS-00126,101-SCH-006,101,7,B,7.B,2024-2025,23,L224,True,2026-02-27T13:34:07.847827,2026-02-27T13:34:07.847828
CLS-00127,101-SCH-006,101,8,A,8.A,2024-2025,20,L238,True,2026-02-27T13:34:07.847830,2026-02-27T13:34:07.847831
CLS-00128,101-SCH-006,101,8,B,8.B,2024-2025,28,L318,True,2026-02-27T13:34:07.847832,2026-02-27T13:34:07.847833
CLS-00129,101-SCH-006,101,9,A,9.A,2024-2025,22,L125,True,2026-02-27T13:34:07.847835,2026-02-27T13:34:07.847836
CLS-00130,101-SCH-006,101,9,B,9.B,2024-2025,24,L107,True,2026-02-27T13:34:07.847838,2026-02-27T13:34:07.847838
CLS-00131,101-SCH-006,101,9,C,9.C,2024-2025,26,L102,True,2026-02-27T13:34:07.847840,2026-02-27T13:34:07.847841
CLS-00132,101-SCH-007,101,0,A,0.A,2024-2025,23,L215,True,2026-02-27T13:34:07.847843,2026-02-27T13:34:07.847844
CLS-00133,101-SCH-007,101,0,B,0.B,2024-2025,27,L255,True,2026-02-27T13:34:07.847845,2026-02-27T13:34:07.847846
CLS-00134,101-SCH-007,101,0,C,0.C,2024-2025,24,L161,True,2026-02-27T13:34:07.847847,2026-02-27T13:34:07.847848
CLS-00135,101-SCH-007,101,1,A,1.A,2024-2025,26,L172,True,2026-02-27T13:34:07.847850,2026-02-27T13:34:07.847851
CLS-00136,101-SCH-007,101,2,A,2.A,2024-2025,25,L309,True,2026-02-27T13:34:07.847855,2026-02-27T13:34:07.847856
CLS-00137,101-SCH-007,101,3,A,3.A,2024-2025,23,L273,True,2026-02-27T13:34:07.847858,2026-02-27T13:34:07.847859
CLS-00138,101-SCH-007,101,3,B,3.B,2024-2025,23,L330,True,2026-02-27T13:34:07.847860,2026-02-27T13:34:07.847861
