class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-00001,461-SCH-001,461,0,A,0.A,2024-2025,22,L290,True,2026-02-27T13:34:08.062652,2026-02-27T13:34:08.062653
CLS-00002,461-SCH-001,461,0,B,0.B,2024-2025,21,L286,True,2026-02-27T13:34:08.062656,2026-02-27T13:34:08.062657
CLS-00003,461-SCH-001,461,1,A,1.A,2024-2025,25,L294,True,2026-02-27T13:34:08.062660,2026-02-27T13:34:08.062661
CLS-00004,461-SCH-001,461,1,B,1.B,2024-2025,23,L324,True,2026-02-27T13:34:08.062670,2026-02-27T13:34:08.062671
CLS-00005,461-SCH-001,461,1,C,1.C,2024-2025,28,L141,True,2026-02-27T13:34:08.062672,2026-02-27T13:34:08.062674
CLS-00006,461-SCH-001,461,2,A,2.A,2024-2025,27,L326,True,2026-02-27T13:34:08.062677,2026-02-27T13:34:08.062677
CLS-00007,461-SCH-001,461,3,A,3.A,2024-2025,20,L229,True,2026-02-27T13:34:08.062679,2026-02-27T13:34:08.062680
CLS-00008,461-SCH-001,461,4,A,4.A,2024-2025,21,L339,True,2026-02-27T13:34:08.062682,2026-02-27T13:34:08.062683
CLS-00009,461-SCH-001,461,4,B,4.B,2024-2025,21,L297,True,2026-02-27T13:34:08.062686,2026-02-27T13:34:08.062687
CLS-00010,461-SCH-001,461,5,A,5.A,2024-2025,21,L177,True,2026-02-27T13:34:08.062689,2026-02-27T13:34:08.062689
CLS-00011,461-SCH-001,461,5,B,5.B,2024-2025,24,L269,True,2026-02-27T13:34:08.062691,2026-02-27T13:34:08.062692
CLS-00012,461-SCH-001,461,5,C,5.C,2024-2025,25,L240,True,2026-02-27T13:34:08.062693,2026-02-27T13:34:08.062694
CLS-00013,461-SCH-001,461,6,A,6.A,2024-2025,23,L232,True,2026-02-27T13:34:08.062696,2026-02-27T13:34:08.062697
CLS-00014,461-SCH-001,461,6,B,6.B,2024-2025,22,L116,True,2026-02-27T13:34:08.062698,2026-02-27T13:34:08.062699
