class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-851-00001,851-SCH-003,851,2,C,2.C,2024-2025,28,L107,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00002,851-SCH-001,851,4,B,4.B,2024-2025,22,L232,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00003,851-SCH-005,851,1,B,1.B,2024-2025,24,L139,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00004,851-SCH-001,851,0,A,0.A,2024-2025,23,L136,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00005,851-SCH-005,851,0,A,0.A,2024-2025,23,L111,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00006,851-SCH-001,851,8,A,8.A,2024-2025,27,L193,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00007,851-SCH-003,851,1,C,1.C,2024-2025,25,L147,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00008,851-SCH-002,851,9,B,9.B,2024-2025,23,L139,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00009,851-SCH-003,851,8,C,8.C,2024-2025,26,L262,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00010,851-SCH-002,851,1,C,1.C,2024-2025,28,L253,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00011,851-SCH-003,851,4,A,4.A,2024-2025,24,L295,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00012,851-SCH-001,851,4,A,4.A,2024-2025,27,L243,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00013,851-SCH-001,851,4,A,4.A,2024-2025,23,L146,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00014,851-SCH-003,851,3,A,3.A,2024-2025,22,L299,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00015,851-SCH-004,851,8,A,8.A,2024-2025,26,L132,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00016,851-SCH-005,851,0,B,0.B,2024-2025,23,L173,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00017,851-SCH-002,851,3,A,3.A,2024-2025,23,L230,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00018,851-SCH-005,851,6,A,6.A,2024-2025,24,L155,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00019,851-SCH-001,851,8,A,8.A,2024-2025,24,L135,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00020,851-SCH-002,851,1,A,1.A,2024-2025,25,L155,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00021,851-SCH-001,851,0,A,0.A,2024-2025,25,L167,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00022,851-SCH-004,851,7,A,7.A,2024-2025,28,L262,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00023,851-SCH-004,851,6,B,6.B,2024-2025,22,L128,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00024,851-SCH-005,851,7,C,7.C,2024-2025,28,L259,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00025,851-SCH-003,851,9,C,9.C,2024-2025,23,L140,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00026,851-SCH-004,851,1,B,1.B,2024-2025,28,L294,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00027,851-SCH-002,851,7,B,7.B,2024-2025,22,L108,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00028,851-SCH-003,851,6,B,6.B,2024-2025,26,L228,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00029,851-SCH-002,851,5,B,5.B,2024-2025,27,L118,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00030,851-SCH-003,851,2,A,2.A,2024-2025,24,L140,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00031,851-SCH-004,851,2,A,2.A,2024-2025,26,L256,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00032,851-SCH-005,851,5,B,5.B,2024-2025,24,L281,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00033,851-SCH-005,851,2,A,2.A,2024-2025,24,L276,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00034,851-SCH-001,851,4,C,4.C,2024-2025,28,L180,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00035,851-SCH-004,851,5,C,5.C,2024-2025,26,L221,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00036,851-SCH-004,851,4,C,4.C,2024-2025,27,L144,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00037,851-SCH-002,851,5,C,5.C,2024-2025,26,L295,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00038,851-SCH-001,851,3,B,3.B,2024-2025,24,L270,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00039,851-SCH-002,851,9,A,9.A,2024-2025,24,L258,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00040,851-SCH-004,851,9,B,9.B,2024-2025,22,L127,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00041,851-SCH-002,851,7,A,7.A,2024-2025,23,L195,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00042,851-SCH-001,851,4,C,4.C,2024-2025,25,L166,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00043,851-SCH-004,851,1,A,1.A,2024-2025,27,L292,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00044,851-SCH-003,851,8,A,8.A,2024-2025,25,L292,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00045,851-SCH-001,851,7,C,7.C,2024-2025,28,L117,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00046,851-SCH-002,851,3,A,3.A,2024-2025,24,L253,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00047,851-SCH-004,851,8,A,8.A,2024-2025,24,L143,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00048,851-SCH-005,851,3,C,3.C,2024-2025,27,L145,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00049,851-SCH-001,851,9,C,9.C,2024-2025,27,L156,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00050,851-SCH-003,851,1,A,1.A,2024-2025,24,L192,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00051,851-SCH-003,851,4,B,4.B,2024-2025,25,L151,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00052,851-SCH-003,851,3,B,3.B,2024-2025,24,L106,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00053,851-SCH-005,851,6,B,6.B,2024-2025,24,L182,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00054,851-SCH-003,851,9,A,9.A,2024-2025,28,L102,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00055,851-SCH-001,851,2,A,2.A,2024-2025,23,L177,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00056,851-SCH-001,851,8,B,8.B,2024-2025,26,L233,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00057,851-SCH-002,851,8,A,8.A,2024-2025,25,L212,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00058,851-SCH-004,851,1,C,1.C,2024-2025,24,L267,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00059,851-SCH-001,851,1,B,1.B,2024-2025,27,L253,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00060,851-SCH-004,851,0,B,0.B,2024-2025,22,L163,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00061,851-SCH-004,851,6,A,6.A,2024-2025,27,L154,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00062,851-SCH-005,851,4,B,4.B,2024-2025,22,L185,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00063,851-SCH-003,851,6,C,6.C,2024-2025,24,L268,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00064,851-SCH-004,851,9,B,9.B,2024-2025,23,L112,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00065,851-SCH-001,851,2,B,2.B,2024-2025,26,L265,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00066,851-SCH-002,851,1,A,1.A,2024-2025,22,L101,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00067,851-SCH-003,851,3,B,3.B,2024-2025,27,L220,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00068,851-SCH-001,851,9,A,9.A,2024-2025,23,L288,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00069,851-SCH-001,851,5,B,5.B,2024-2025,25,L198,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00070,851-SCH-003,851,5,A,5.A,2024-2025,22,L151,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00071,851-SCH-004,851,1,B,1.B,2024-2025,25,L186,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00072,851-SCH-005,851,7,A,7.A,2024-2025,26,L201,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00073,851-SCH-002,851,8,A,8.A,2024-2025,23,L158,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00074,851-SCH-002,851,6,C,6.C,2024-2025,25,L245,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00075,851-SCH-005,851,8,A,8.A,2024-2025,22,L102,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00076,851-SCH-002,851,2,A,2.A,2024-2025,25,L173,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00077,851-SCH-005,851,7,C,7.C,2024-2025,28,L258,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00078,851-SCH-004,851,1,A,1.A,2024-2025,26,L125,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00079,851-SCH-002,851,4,A,4.A,2024-2025,25,L299,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00080,851-SCH-004,851,1,B,1.B,2024-2025,26,L104,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00081,851-SCH-001,851,5,C,5.C,2024-2025,24,L103,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00082,851-SCH-005,851,3,B,3.B,2024-2025,28,L133,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00083,851-SCH-004,851,7,A,7.A,2024-2025,28,L180,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00084,851-SCH-001,851,3,B,3.B,2024-2025,25,L264,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00085,851-SCH-003,851,1,C,1.C,2024-2025,26,L192,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00086,851-SCH-003,851,5,C,5.C,2024-2025,25,L162,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00087,851-SCH-001,851,2,B,2.B,2024-2025,24,L118,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00088,851-SCH-004,851,1,A,1.A,2024-2025,25,L253,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00089,851-SCH-002,851,6,C,6.C,2024-2025,28,L108,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-851-00090,851-SCH-004,851,9,B,9.B,2024-2025,28,L175,true,2026-03-09 08:00:00,2026-03-09 08:00:00
