class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-751-00001,751-SCH-002,751,0,B,0.B,2024-2025,22,L268,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00002,751-SCH-001,751,2,B,2.B,2024-2025,24,L210,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00003,751-SCH-002,751,8,B,8.B,2024-2025,25,L181,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00004,751-SCH-002,751,5,B,5.B,2024-2025,24,L159,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00005,751-SCH-005,751,4,C,4.C,2024-2025,26,L155,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00006,751-SCH-004,751,7,C,7.C,2024-2025,22,L131,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00007,751-SCH-007,751,6,B,6.B,2024-2025,26,L132,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00008,751-SCH-003,751,6,B,6.B,2024-2025,23,L100,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00009,751-SCH-001,751,2,B,2.B,2024-2025,23,L116,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00010,751-SCH-003,751,3,B,3.B,2024-2025,27,L174,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00011,751-SCH-005,751,5,B,5.B,2024-2025,26,L197,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00012,751-SCH-005,751,3,C,3.C,2024-2025,23,L218,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00013,751-SCH-002,751,2,C,2.C,2024-2025,27,L160,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00014,751-SCH-002,751,6,C,6.C,2024-2025,27,L273,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00015,751-SCH-002,751,5,A,5.A,2024-2025,26,L123,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00016,751-SCH-004,751,3,B,3.B,2024-2025,24,L209,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00017,751-SCH-003,751,7,C,7.C,2024-2025,22,L138,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00018,751-SCH-001,751,2,A,2.A,2024-2025,25,L134,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00019,751-SCH-003,751,8,B,8.B,2024-2025,27,L258,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00020,751-SCH-006,751,0,B,0.B,2024-2025,22,L114,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00021,751-SCH-001,751,8,C,8.C,2024-2025,27,L300,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00022,751-SCH-007,751,2,B,2.B,2024-2025,25,L252,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00023,751-SCH-006,751,5,C,5.C,2024-2025,25,L176,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00024,751-SCH-004,751,2,B,2.B,2024-2025,24,L136,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00025,751-SCH-007,751,1,A,1.A,2024-2025,28,L195,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00026,751-SCH-005,751,3,B,3.B,2024-2025,27,L261,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00027,751-SCH-002,751,8,B,8.B,2024-2025,22,L139,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00028,751-SCH-003,751,0,A,0.A,2024-2025,26,L233,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00029,751-SCH-002,751,2,B,2.B,2024-2025,22,L105,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00030,751-SCH-007,751,1,A,1.A,2024-2025,27,L128,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00031,751-SCH-006,751,2,C,2.C,2024-2025,27,L135,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00032,751-SCH-002,751,4,C,4.C,2024-2025,25,L216,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00033,751-SCH-006,751,0,B,0.B,2024-2025,24,L103,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00034,751-SCH-006,751,3,C,3.C,2024-2025,26,L160,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00035,751-SCH-003,751,1,A,1.A,2024-2025,24,L270,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00036,751-SCH-002,751,3,C,3.C,2024-2025,28,L202,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00037,751-SCH-007,751,0,C,0.C,2024-2025,25,L226,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00038,751-SCH-002,751,6,B,6.B,2024-2025,27,L244,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00039,751-SCH-005,751,3,B,3.B,2024-2025,28,L118,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00040,751-SCH-004,751,8,A,8.A,2024-2025,24,L103,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-751-00041,751-SCH-004,751,6,A,6.A,2024-2025,26,L156,true,2026-03-09 08:00:00,2026-03-09 08:00:00
