class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-101-00001,101-SCH-006,101,8,A,8.A,2024-2025,27,L253,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00002,101-SCH-001,101,9,B,9.B,2024-2025,25,L132,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00003,101-SCH-005,101,8,C,8.C,2024-2025,28,L103,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00004,101-SCH-007,101,3,A,3.A,2024-2025,24,L122,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00005,101-SCH-003,101,1,B,1.B,2024-2025,26,L231,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00006,101-SCH-002,101,3,B,3.B,2024-2025,27,L275,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00007,101-SCH-004,101,0,A,0.A,2024-2025,28,L236,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00008,101-SCH-006,101,0,C,0.C,2024-2025,28,L102,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00009,101-SCH-004,101,5,A,5.A,2024-2025,24,L141,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00010,101-SCH-002,101,2,A,2.A,2024-2025,28,L237,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00011,101-SCH-006,101,6,A,6.A,2024-2025,28,L169,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00012,101-SCH-006,101,0,B,0.B,2024-2025,22,L254,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00013,101-SCH-007,101,3,C,3.C,2024-2025,25,L210,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00014,101-SCH-005,101,9,B,9.B,2024-2025,26,L286,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00015,101-SCH-002,101,9,A,9.A,2024-2025,22,L222,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00016,101-SCH-004,101,1,B,1.B,2024-2025,25,L102,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00017,101-SCH-001,101,6,B,6.B,2024-2025,27,L245,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-101-00018,101-SCH-003,101,5,C,5.C,2024-2025,23,L180,true,2026-03-09 08:00:00,2026-03-09 08:00:00
