class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-00273,101-SCH-003,101,6,A,6.A,2024-2025,27,L133,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00274,101-SCH-006,101,7,B,7.B,2024-2025,27,L212,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00275,751-SCH-005,751,2,C,2.C,2024-2025,24,L175,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00276,751-SCH-002,751,4,B,4.B,2024-2025,23,L184,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00277,461-SCH-002,461,3,C,3.C,2024-2025,24,L211,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00278,461-SCH-004,461,1,B,1.B,2024-2025,24,L168,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00279,851-SCH-002,851,8,C,8.C,2024-2025,26,L285,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00280,851-SCH-004,851,2,C,2.C,2024-2025,24,L230,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00281,561-SCH-006,561,2,A,2.A,2024-2025,22,L161,true,2026-03-12 08:00:00,2026-03-12 08:00:00
CLS-00282,561-SCH-008,561,2,C,2.C,2024-2025,23,L152,true,2026-03-12 08:00:00,2026-03-12 08:00:00
