class_id,school_id,municipality_code,grade,section,class_name,academic_year,max_students,classroom_number,is_active,created_at,updated_at
CLS-461-00001,461-SCH-003,461,5,A,5.A,2024-2025,27,L244,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00002,461-SCH-001,461,0,B,0.B,2024-2025,28,L232,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00003,461-SCH-002,461,9,B,9.B,2024-2025,28,L265,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00004,461-SCH-007,461,4,A,4.A,2024-2025,28,L262,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00005,461-SCH-003,461,2,B,2.B,2024-2025,24,L233,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00006,461-SCH-005,461,4,A,4.A,2024-2025,23,L242,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00007,461-SCH-003,461,3,B,3.B,2024-2025,24,L217,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00008,461-SCH-003,461,8,B,8.B,2024-2025,28,L230,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00009,461-SCH-004,461,5,B,5.B,2024-2025,27,L142,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00010,461-SCH-003,461,7,A,7.A,2024-2025,26,L106,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00011,461-SCH-007,461,8,B,8.B,2024-2025,26,L114,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00012,461-SCH-002,461,0,C,0.C,2024-2025,22,L187,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00013,461-SCH-005,461,1,B,1.B,2024-2025,28,L246,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00014,461-SCH-003,461,4,C,4.C,2024-2025,25,L152,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00015,461-SCH-004,461,7,B,7.B,2024-2025,26,L134,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00016,461-SCH-006,461,3,A,3.A,2024-2025,22,L109,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00017,461-SCH-004,461,4,C,4.C,2024-2025,25,L174,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00018,461-SCH-001,461,9,A,9.A,2024-2025,27,L191,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00019,461-SCH-002,461,4,A,4.A,2024-2025,22,L292,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00020,461-SCH-007,461,4,B,4.B,2024-2025,23,L219,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00021,461-SCH-003,461,6,A,6.A,2024-2025,22,L126,true,2026-03-09 08:00:00,2026-03-09 08:00:00
CLS-461-00022,461-SCH-001,461,4,A,4.A,2024-2025,27,L245,true,2026-03-09 08:00:00,2026-03-09 08:00:00
